Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV F1 (mean),CV F1 (std)
Random Forest,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9928902116402116,0.938062891295823,0.018597511869705822
SVM (RBF),0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9953703703703703,0.9665921638256275,0.026224956033784518
Logistic Regression,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.996031746031746,0.9633408685451746,0.023992366704972578
Gradient Boosting,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9947089947089948,0.9314681767684668,0.03656047382623462
XGBoost,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9904100529100529,0.9500698419098359,0.014038222392525414
K-Nearest Neighbors,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9816468253968255,0.9532412534350518,0.020548572514640137
Decision Tree,0.9298245614035088,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9246031746031745,0.8757177507158669,0.04295355763929478
Naive Bayes,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9890873015873015,0.9045222591850999,0.02544572881744683
